"","MB_MR","SITE","SPECCODE","SURVAREA","SHSITE","YEAR","DATE","DAY_TYPE","SHIFT","BIWEEK","WEEK","STATWEEK","HARBOR","SUBHARBOR","HEADVAR2","SAMPTYPE","LITHCODE","LINENO","LENGTH","LENGTH_TYPE","LEN_VER","AREA","SUBAREA","CLASS","CLASSN","GAF","INTVNUMB","PHOTO_NUM","IPHC_AREA","LOGBOOK_AREA","STAT_AREA","DISTRICT","SUB_DIST","Stat_Area_label","NOTES2","SAMP_TYPE","R_SLOT","MONTH","LENCM","GROSSWT","NETWT","ROUNDWT","TAGNUM","GF_area","LC_area"
"1306","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-29,1,NA,13,11,27,0,14,15,"A","00120264","02",755,"STF","",55,NA,2,"Charter","SF",7,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",6,75.5,9.74943189855772,8.40846987391971,11.1832649323132,NA,"NSEO","NSEO"
"1307","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,10,15,"C","00120267","01",835,"STF","",55,NA,2,"Charter","SF",2,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",6,83.5,13.5112449427298,11.6528734435183,15.4983216798794,NA,"NSEO","NSEO"
"1308","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,10,15,"C","00120267","02",940,"STF","",55,NA,2,"Charter","SF",2,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",6,94,19.8319506194401,17.1042129489918,22.7486032221592,NA,"NSEO","NSEO"
"1309","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,10,15,"C","00120267","03",830,"STF","",55,NA,2,"Charter","SF",2,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",6,83,13.2508642867348,11.4283062149386,15.1996472658684,NA,"NSEO","NSEO"
"1310","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,10,15,"C","00120267","04",860,"STF","",55,NA,2,"Charter","SF",2,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",6,86,14.8664121475711,12.8216474535934,17.0527911132793,NA,"NSEO","NSEO"
"1311","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","05",900,"STF","",53,NA,2,"Charter","SF",3,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",6,90,17.2257015058852,14.8564340647168,19.7590573060733,NA,"NSEI","NSEI"
"1312","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","06",1340,"STF","",53,NA,2,"Charter","GAF",3,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","INSIDE",6,134,62.5533731096728,53.9496207345737,71.752995576983,8,"NSEI","NSEI"
"1313","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","07",1030,"STF","",53,NA,2,"Charter","SF",3,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",6,103,26.6700478433973,23.0017806330211,30.5923682419181,NA,"NSEI","NSEI"
"1314","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","08",1240,"STF","",53,NA,2,"Charter","GAF",3,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","INSIDE",6,124,48.6538763022908,41.9618965898669,55.809322464523,8,"NSEI","NSEI"
"1315","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","09",1085,"STF","",53,NA,2,"Charter","SF",3,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",6,108.5,31.5662897365399,27.2245807799716,36.2086924373623,NA,"NSEI","NSEI"
"1316","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","10",885,"STF","",73,NA,2,"Charter","SF",4,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",6,88.5,16.3127576363339,14.0690588511069,18.7118482719722,NA,"NSEO","NSEO"
"1317","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","11",850,"STF","",73,NA,2,"Charter","SF",4,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",6,85,14.3135877905572,12.344859985371,16.4186637805435,NA,"NSEO","NSEO"
"1318","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","12",1400,"STF","",73,NA,2,"Charter","SF",5,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",6,140,72.091825418983,62.1761296964466,82.694252496274,NA,"NSEO","NSEO"
"1319","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","13",1390,"STF","",73,NA,2,"Charter","SF",5,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",6,139,70.4367224993107,60.7486739038316,80.795736292096,NA,"NSEO","NSEO"
"1320","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,12,15,"C","00120267","14",1145,"STF","",73,NA,2,"Charter","SF",5,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",6,114.5,37.5803623762038,32.411462347672,43.1072449224037,NA,"NSEO","NSEO"
"1321","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,10,15,"C","00120267","15",765,"STF","",53,NA,2,"Charter","SF",7,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",6,76.5,10.1740586444088,8.77469236127076,11.6703408404901,NA,"NSEI","NSEI"
"1322","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,10,15,"C","00120267","16",780,"STF","",53,NA,2,"Charter","SF",7,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",6,78,10.8347201758416,9.34448480063655,12.4281647848466,NA,"NSEI","NSEI"
"1323","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,13,15,"C","00120267","17",1125,"STF","",53,NA,1,"Private","SF",15,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","N_A",6,112.5,35.4948511650989,30.6127977308248,40.7150209819969,NA,"NSEI","NSEI"
"1324","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-06-30,1,NA,13,12,27,1,11,15,"C","00120267","18",1205,"STF","",53,NA,1,"Private","SF",16,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","N_A",6,120.5,44.3434234257419,38.2443145263649,50.8649383200653,NA,"NSEI","NSEI"
"1325","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,13,15,"A","00120269","01",920,"STF","",55,NA,1,"Private","SF",1,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,92,18.497104380677,15.9529649068762,21.2174433261454,NA,"NSEO","NSEO"
"1326","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,13,15,"A","00120269","02",1065,"STF","",53,NA,1,"Private","SF",2,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","N_A",7,106.5,29.7196654220351,25.6319459394474,34.090488099465,NA,"NSEI","NSEI"
"1327","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,13,15,"A","00120269","03",805,"STF","",53,NA,1,"Private","SF",2,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","N_A",7,80.5,12.0007900817551,10.3501704423003,13.7657266882595,NA,"NSEI","NSEI"
"1328","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,13,15,"A","00120269","04",845,"STF","",53,NA,1,"Private","SF",2,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","N_A",7,84.5,14.0425805500267,12.1111277801179,16.1077999475568,NA,"NSEI","NSEI"
"1329","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,13,15,"A","00120269","05",860,"STF","",53,NA,1,"Private","SF",2,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","N_A",7,86,14.8664121475711,12.8216474535934,17.0527911132793,NA,"NSEI","NSEI"
"1330","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","06",850,"STF","",55,NA,2,"Charter","SF",3,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,85,14.3135877905572,12.344859985371,16.4186637805435,NA,"NSEO","NSEO"
"1331","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","07",775,"STF","",55,NA,2,"Charter","SF",3,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,77.5,10.6113026846215,9.15179672775422,12.1718896479131,NA,"NSEO","NSEO"
"1332","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","08",725,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,72.5,8.54921675080914,7.37333541510483,9.80653610208943,NA,"NSEO","NSEO"
"1333","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","09",925,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,92.5,18.8248012991272,16.2355895454433,21.5933340954396,NA,"NSEO","NSEO"
"1334","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","10",980,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,98,22.6988404372717,19.5767833424166,26.037121845414,NA,"NSEO","NSEO"
"1335","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","11",1150,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,115,38.114672238638,32.8722818526814,43.7201348640662,NA,"NSEO","NSEO"
"1336","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","12",765,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,76.5,10.1740586444088,8.77469236127076,11.6703408404901,NA,"NSEO","NSEO"
"1337","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","13",695,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,69.5,7.45524557430893,6.42983185753865,8.5516763705264,NA,"NSEO","NSEO"
"1338","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","14",760,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,76,9.96018088682265,8.5902319024382,11.4250084302428,NA,"NSEO","NSEO"
"1339","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","15",755,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,75.5,9.74943189855772,8.40846987391971,11.1832649323132,NA,"NSEO","NSEO"
"1340","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","16",725,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,72.5,8.54921675080914,7.37333541510483,9.80653610208943,NA,"NSEO","NSEO"
"1341","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","17",1075,"STF","",55,NA,1,"Private","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","N_A",7,107.5,30.6333583196463,26.4199671578647,35.1385563199601,NA,"NSEO","NSEO"
"1342","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","18",855,"STF","",53,NA,2,"Charter","SF",5,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,85.5,14.5881895772432,12.5816923336246,16.7336508037207,NA,"NSEI","NSEI"
"1343","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","19",980,"STF","",53,NA,2,"Charter","SF",5,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,98,22.6988404372717,19.5767833424166,26.037121845414,NA,"NSEI","NSEI"
"1344","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00120269","20",950,"STF","",53,NA,2,"Charter","SF",5,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,95,20.5237004736467,17.7008177429845,23.5420875981694,NA,"NSEI","NSEI"
"1345","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00121502","01",1395,"STF","",53,NA,2,"Charter","GAF",5,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","INSIDE",7,139.5,71.2609519074688,61.4595366720224,81.7411837737898,8,"NSEI","NSEI"
"1346","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00121502","02",1530,"STF","",53,NA,2,"Charter","GAF",5,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","INSIDE",7,153,96.1239087680038,82.9027782797002,110.260695112001,8,"NSEI","NSEI"
"1347","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00121502","03",1435,"STF","",53,NA,2,"Charter","GAF",5,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","INSIDE",7,143.5,78.096459606747,67.35487100128,89.5819784317025,8,"NSEI","NSEI"
"1348","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00121502","04",1550,"STF","",53,NA,2,"Charter","GAF",6,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","INSIDE",7,155,100.254964789964,86.4656381949801,114.999298799324,8,"NSEI","NSEI"
"1349","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,12,15,"A","00121502","05",1125,"STF","",53,NA,2,"Charter","SF",6,"","2C",114211,"11421","114","21","114-21","As written","Creel Sampler","INSIDE",7,112.5,35.4948511650989,30.6127977308248,40.7150209819969,NA,"NSEI","NSEI"
"1350","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,13,15,"A","00121502","06",1305,"STF","",45,NA,1,"Private","SF",8,"","2C",114600,"11460","114","60","114-60","","Creel Sampler","N_A",7,130.5,57.4128683190672,49.5161542394703,65.8564851384955,NA,"NSEI","NSEI"
"1351","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-03,1,NA,13,12,27,1,13,15,"A","00121502","07",1190,"STF","",45,NA,1,"Private","SF",8,"","2C",114600,"11460","114","60","114-60","","Creel Sampler","N_A",7,119,42.5797729830987,36.7232411172277,48.8419106859128,NA,"NSEI","NSEI"
"1352","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","01",970,"STF","",55,NA,2,"Charter","SF",5,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,97,21.9569294148405,18.9369166767327,25.1860991800545,NA,"NSEO","NSEO"
"1353","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","02",915,"STF","",73,NA,2,"Charter","SF",2,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",7,91.5,18.1733726289059,15.6737600557299,20.8461008741207,NA,"NSEO","NSEO"
"1354","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","03",805,"STF","",46,NA,2,"Charter","SF",1,"","2C",114212,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,80.5,12.0007900817551,10.3501704423003,13.7657266882595,NA,"NSEI","NSEI"
"1355","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","04",1085,"STF","",46,NA,2,"Charter","SF",1,"","2C",114212,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,108.5,31.5662897365399,27.2245807799716,36.2086924373623,NA,"NSEI","NSEI"
"1356","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","05",980,"STF","",46,NA,2,"Charter","SF",1,"","2C",114212,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,98,22.6988404372717,19.5767833424166,26.037121845414,NA,"NSEI","NSEI"
"1357","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","06",1040,"STF","",47,NA,2,"Charter","SF",4,"","3A",116110,"11611","116","11","116-11","","Creel Sampler","N_A",7,104,27.51814825208,23.7332311227181,31.5651973932151,NA,"NSEO","NSEO"
"1358","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","07",1310,"STF","",47,NA,2,"Charter","SF",4,"","3A",116110,"11611","116","11","116-11","","Creel Sampler","N_A",7,131,58.1286430110945,50.1334794330865,66.6775276460051,NA,"NSEO","NSEO"
"1359","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","08",1315,"STF","",47,NA,2,"Charter","SF",4,"","3A",116110,"11611","116","11","116-11","","Creel Sampler","N_A",7,131.5,58.8505635365804,50.7561051463664,67.5056198446673,NA,"NSEO","NSEO"
"1360","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","09",920,"STF","",55,NA,2,"Charter","SF",6,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,92,18.497104380677,15.9529649068762,21.2174433261454,NA,"NSEO","NSEO"
"1361","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","10",795,"STF","",55,NA,2,"Charter","SF",6,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,79.5,11.5244626193897,9.93935828841346,13.2193465235899,NA,"NSEO","NSEO"
"1362","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","11",1110,"STF","",55,NA,2,"Charter","SF",6,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,111,33.9842459384742,29.3099650456363,38.9822535106963,NA,"NSEO","NSEO"
"1363","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-04,1,NA,13,12,27,0,19,15,"C","00121507","12",970,"STF","",55,NA,2,"Charter","SF",6,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,97,21.9569294148405,18.9369166767327,25.1860991800545,NA,"NSEO","NSEO"
"1364","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","01",915,"STF","",73,NA,2,"Charter","SF",1,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",7,91.5,18.1733726289059,15.6737600557299,20.8461008741207,NA,"NSEO","NSEO"
"1365","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","02",905,"STF","",73,NA,2,"Charter","SF",1,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",7,90.5,17.5376978432305,15.1255176206242,20.1169384354302,NA,"NSEO","NSEO"
"1366","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","03",910,"STF","",55,NA,2,"Charter","SF",2,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,91,17.8535793395215,15.3979519606891,20.4792761077166,NA,"NSEO","NSEO"
"1367","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","04",1020,"STF","",55,NA,2,"Charter","SF",2,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,102,25.8401924146095,22.2860656615977,29.6404673299249,NA,"NSEO","NSEO"
"1368","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","05",1550,"STF","",73,NA,2,"Charter","SF",1,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",7,155,100.254964789964,86.4656381949801,114.999298799324,NA,"NSEO","NSEO"
"1369","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","06",1290,"STF","",73,NA,2,"Charter","SF",1,"","3A",365801,"36580","365","80","365-80","","Creel Sampler","N_A",7,129,55.3021286394419,47.6957311427726,63.4353224198875,NA,"NSEO","NSEO"
"1370","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","07",905,"STF","",53,NA,2,"Charter","SF",4,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,90.5,17.5376978432305,15.1255176206242,20.1169384354302,NA,"NSEI","NSEI"
"1371","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","08",1045,"STF","",53,NA,2,"Charter","SF",4,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,104.5,27.9491090236014,24.1049164375019,32.0595388618776,NA,"NSEI","NSEI"
"1372","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","09",995,"STF","",53,NA,2,"Charter","SF",4,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,99.5,23.8439371465098,20.5643804950032,27.3506260583543,NA,"NSEI","NSEI"
"1373","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","10",885,"STF","",47,NA,2,"Charter","SF",6,"","3A",116110,"11611","116","11","116-11","","Creel Sampler","N_A",7,88.5,16.3127576363339,14.0690588511069,18.7118482719722,NA,"NSEO","NSEO"
"1374","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","11",1505,"STF","",47,NA,2,"Charter","SF",6,"","3A",116110,"11611","116","11","116-11","","Creel Sampler","N_A",7,150.5,91.1274980142266,78.5935867557223,104.529470385111,NA,"NSEO","NSEO"
"1375","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","12",785,"STF","",55,NA,2,"Charter","SF",5,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,78.5,11.0613688531761,9.53995963395614,12.6881463131617,NA,"NSEO","NSEO"
"1376","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","13",760,"STF","",55,NA,2,"Charter","SF",5,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,76,9.96018088682265,8.5902319024382,11.4250084302428,NA,"NSEO","NSEO"
"1377","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","14",805,"STF","",55,NA,2,"Charter","SF",5,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,80.5,12.0007900817551,10.3501704423003,13.7657266882595,NA,"NSEO","NSEO"
"1378","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,19,15,"A","00121511","15",940,"STF","",55,NA,2,"Charter","SF",5,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,94,19.8319506194401,17.1042129489918,22.7486032221592,NA,"NSEO","NSEO"
"1379","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-05,1,NA,13,12,27,0,14,15,"A","00121511","16",815,"STF","",45,NA,1,"Private","SF",9,"","2C",114600,"11460","114","60","114-60","","Creel Sampler","N_A",7,81.5,12.4905579619162,10.7725743842323,14.327523931029,NA,"NSEI","NSEI"
"1380","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-06,1,NA,13,12,28,0,19,15,"C","00121516","01",950,"STF","",53,NA,2,"Charter","SF",2,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,95,20.5237004736467,17.7008177429845,23.5420875981694,NA,"NSEI","NSEI"
"1381","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-06,1,NA,13,12,28,0,19,15,"C","00121516","02",1090,"STF","",53,NA,2,"Charter","SF",2,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,109,32.0400392956013,27.633169602028,36.7521155706973,NA,"NSEI","NSEI"
"1382","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-06,1,NA,13,12,28,0,19,15,"C","00121516","03",1100,"STF","",53,NA,2,"Charter","SF",3,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,110,33.0022451961432,28.4630312197507,37.8558315222684,NA,"NSEI","NSEI"
"1383","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-06,1,NA,13,12,28,0,19,15,"C","00121516","04",1075,"STF","",53,NA,2,"Charter","SF",3,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,107.5,30.6333583196463,26.4199671578647,35.1385563199601,NA,"NSEI","NSEI"
"1384","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-06,1,NA,13,12,28,0,19,15,"C","00121516","05",965,"STF","",53,NA,2,"Charter","SF",3,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,96.5,21.592338598755,18.6224726224267,24.7678885878275,NA,"NSEI","NSEI"
"1385","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-06,1,NA,13,12,28,0,19,15,"C","00121516","06",880,"STF","",53,NA,2,"Charter","SF",6,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,88,16.0160363013939,13.8131493343522,18.3714886146885,NA,"NSEI","NSEI"
"1386","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-06,1,NA,13,12,28,0,19,15,"C","00121516","07",860,"STF","",53,NA,2,"Charter","SF",6,"","2C",114211,"11421","114","21","114-21","","Creel Sampler","LEGAL",7,86,14.8664121475711,12.8216474535934,17.0527911132793,NA,"NSEI","NSEI"
"1387","Marine Boat","ELFIN_COVE","200","G",82,2014,2014-07-06,1,NA,13,12,28,0,19,15,"C","00121516","08",870,"STF","",55,NA,2,"Charter","SF",4,"","2C",113910,"11391","113","91","113-91","","Creel Sampler","LEGAL",7,87,15.4338247731885,13.3110166823064,17.7036521874675,NA,"NSEO","NSEO"
